title,company,location,date,url,department,workplace_type,position_type
"Senior Software Engineer, Database Operations",Aiven,Israel,2026-06-16,https://aiven.io/careers/job/4889244101?gh_jid=4889244101,,,
Growth Marketing Team Lead,AutoDS,Tel Aviv,2026-06-15,https://job-boards.greenhouse.io/autods/jobs/5230583008,,,
Social Media Manager,AutoDS,Tel aviv Israel,2026-05-27,https://job-boards.greenhouse.io/autods/jobs/5147036008,,,
Director of Global IT Ops,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7684085003,,,
Employee Experience Specialist- Temp role for 9 months,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7711683003,,,
Principal Full Stack Engineer,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7699687003,,,
Senior Data Infra Engineer,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7537524003,,,
Senior Product Security Architect,Axonius,Tel Aviv,2026-05-27,https://www.axonius.com/company/careers/open-jobs?gh_jid=7748661003,,,
Senior Software Engineer- Data Engineering,Axonius,Tel Aviv,2026-05-13,https://www.axonius.com/company/careers/open-jobs?gh_jid=7633981003,,,
"Manager I, Engineering - Live Debugging",Datadog,Tel Aviv,2026-06-11,https://careers.datadoghq.com/detail/7942079/?gh_jid=7942079,,,
Senior Backend Software Engineer - Product Analytics,Datadog,Tel Aviv,2026-06-11,https://careers.datadoghq.com/detail/7547361/?gh_jid=7547361,,,
Senior Software Engineer - AI Developer Workflows,Datadog,Tel Aviv,2026-06-11,https://careers.datadoghq.com/detail/7097751/?gh_jid=7097751,,,
Customer Architect,Elastic Technologies Israel,Israel,2026-06-11,https://jobs.elastic.co/jobs?gh_jid=7725620&gh_jid=7725620,,,
"Product Designer - Figma Weave (Tel Aviv, Israel)",Figma,Tel Aviv,2026-05-12,https://boards.greenhouse.io/figma/jobs/5991320004?gh_jid=5991320004,,,
"Software Engineer - Figma Weave (Tel Aviv, Israel) ",Figma,Tel Aviv,2026-06-17,https://boards.greenhouse.io/figma/jobs/6073106004?gh_jid=6073106004,,,
AI Secops Tech-lead,Fireblocks,Tel Aviv-Yafo,2026-06-16,https://www.fireblocks.com/careers/position/4655907006?gh_jid=4655907006,,,
"Business Operations Manager, Payments- Temp",Fireblocks,Tel Aviv-Yafo,2026-06-18,https://www.fireblocks.com/careers/position/4687951006?gh_jid=4687951006,,,
Data Analytics AI Engineer,Fireblocks,Tel Aviv-Yafo,2026-06-16,https://www.fireblocks.com/careers/position/4684983006?gh_jid=4684983006,,,
Incident Response Director,Fireblocks,Tel Aviv-Yafo,2026-06-16,https://www.fireblocks.com/careers/position/4664488006?gh_jid=4664488006,,,
Information Security Engineer,Fireblocks,Tel Aviv-Yafo,2026-06-17,https://www.fireblocks.com/careers/position/4616044006?gh_jid=4616044006,,,
Security Assurance Engineer,Fireblocks,Tel Aviv-Yafo,2026-06-16,https://www.fireblocks.com/careers/position/4678544006?gh_jid=4678544006,,,
Senior Backend Engineer,Fireblocks,Tel Aviv-Yafo,2026-06-16,https://www.fireblocks.com/careers/position/4674505006?gh_jid=4674505006,,,
