title,company,location,url,date,deadline,department,description,requirements,position_type
מדריך הכנה לשרות משמעותי,עפולה,עפולה,https://namerz.moin.gov.il/showexternal/55220/1,2026-06-14,2026-07-01,נוער תרבות וספורט,"רשות: עפולה · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מח""ר · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-14 · מועד הגשה: 2026-07-01 · מספר מכרז: 41/2026",אקדמאית / חילופית בהתאם לחוק,
מתאמ.ת חירום רשותי ורכז.ת ניהול מערכות מידע לאגף השירותים החברתיים,נס ציונה,נס ציונה,https://namerz.moin.gov.il/showexternal/55372/2,2026-06-17,2026-07-01,רווחה,מתאמ.ת חירום רשותי ורכז.ת ניהול מערכות מידע לאגף השירותים החברתיים,אקדמאית / חילופית בהתאם לחוק,
אחראי.ת אחזקה באגף שפע,נס ציונה,נס ציונה,https://namerz.moin.gov.il/showexternal/55373/2,2026-06-17,2026-07-01,שפע ותשתיות,אחראי.ת אחזקה באגף שפע,12 שנות לימוד,
"מזכיר.ה לאגף שפ""ע",נס ציונה,נס ציונה,https://namerz.moin.gov.il/showexternal/55374/2,2026-06-17,2026-07-01,שפע ותשתיות,"מזכיר.ה לאגף שפ""ע",12 שנות לימוד,
מנהל ספריה עירונית,גן רווה,גן רווה,https://namerz.moin.gov.il/showexternal/55379/1,2026-06-17,2026-07-01,נוער תרבות וספורט,"רשות: גן רווה · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מח""ר 38-40, או שכר בכירים באישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 8.26",אקדמאית / חילופית בהתאם לחוק,
עובד אחזקה,גני תקווה,גני תקווה,https://namerz.moin.gov.il/showexternal/55399/1,2026-06-17,2026-07-01,ניהול כללי,"רשות: גני תקווה · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: מנהלי · רמת השכלה: 12 שנות לימוד, בגרות, השכלה תיכונית · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 50/2026",12 שנות לימוד; בגרות; השכלה תיכונית,
מנהל מחלקה גנרי,גני תקווה,גני תקווה,https://namerz.moin.gov.il/showexternal/55400/1,2026-06-17,2026-07-01,ניהול כללי,"רשות: גני תקווה · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: חוזה בכירים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 51/2026",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
מנהל יחידת הנוער ברשות (מנהל אגף/מחלקה/מדור/תחום נוער רשותי),חריש,חריש,https://namerz.moin.gov.il/showexternal/55409/2,2026-06-17,2026-07-01,נוער תרבות וספורט,רשות: חריש · מחוז: חיפה · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 53/26,אקדמאית / חילופית בהתאם לחוק,
מלווה הסעות לילדים ולפעוטות עם מוגבלות,נתיבות,נתיבות,https://namerz.moin.gov.il/showexternal/55422/1,2026-06-17,2026-07-01,רווחה,רשות: נתיבות · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: מנהלי 6-8 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 1136/26,12 שנות לימוד,
"מרכז נושא מת""ן",נתיבות,נתיבות,https://namerz.moin.gov.il/showexternal/55423/1,2026-06-17,2026-07-01,רווחה,"רשות: נתיבות · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: דירוג עובד סוציאלי (רמת ניהול 1) או דירוג המח""ר 37-39 · רמת השכלה: בגרות · תאריך פרסום: 2026-06-17 · מועד הגשה: 2026-07-01 · מספר מכרז: 1135/26",בגרות,
